labels,Not,Exp
0,0.9978508,0.0021492827
1,0.009759732,0.99024034
0,0.4475067,0.5524933
1,0.009599097,0.99040085
0,0.99783653,0.0021634642
1,0.013781418,0.98621863
1,0.004810894,0.9951891
0,0.9957625,0.0042375345
0,0.30319235,0.6968076
0,0.031543173,0.9684568
2,0.9916822,0.008317788
1,0.0048306757,0.99516934
1,0.019755049,0.98024493
1,0.006959006,0.99304104
1,0.007024735,0.99297523
1,0.0049031577,0.99509686
1,0.00678762,0.99321234
1,0.030635547,0.9693645
0,0.9978465,0.0021535214
1,0.03006078,0.9699393
0,0.98100466,0.018995406
1,0.006143333,0.9938566
2,0.01788341,0.9821165
1,0.013095327,0.9869047
0,0.035807908,0.9641921
1,0.010542577,0.9894574
0,0.99819785,0.0018021376
0,0.9985843,0.0014157696
0,0.9963863,0.0036137635
0,0.99319893,0.0068010604
1,0.10201757,0.8979824
0,0.76396656,0.23603344
2,0.98627394,0.013726051
0,0.99818426,0.0018157286
1,0.056032535,0.9439674
1,0.0070063295,0.99299365
1,0.003632297,0.9963677
1,0.007472556,0.9925275
2,0.0075106663,0.99248934
0,0.9477763,0.05222363
0,0.9970697,0.0029302908
1,0.0070376927,0.9929623
1,0.014910691,0.98508936
1,0.6804755,0.31952456
0,0.9968027,0.003197332
1,0.047933444,0.95206654
1,0.008921522,0.99107844
1,0.007926676,0.99207336
0,0.95508957,0.044910405
1,0.006540231,0.9934597
0,0.94968075,0.05031919
0,0.99828607,0.001713872
0,0.9980544,0.0019456029
0,0.9696418,0.03035823
1,0.028310666,0.9716894
1,0.015099622,0.98490036
0,0.99791545,0.0020844955
0,0.99785846,0.0021414836
1,0.015167609,0.98483235
0,0.9975539,0.0024461455
0,0.011528498,0.9884715
0,0.9959998,0.004000208
0,0.9786956,0.021304434
1,0.03308784,0.96691215
2,0.02535996,0.9746401
1,0.0071459073,0.99285406
2,0.0054087564,0.9945912
0,0.99703264,0.0029672915
0,0.9971649,0.0028350493
1,0.0048424723,0.99515754
1,0.1830932,0.8169068
1,0.0049365493,0.9950635
0,0.99832493,0.0016750274
0,0.99017394,0.009826084
0,0.99026465,0.009735304
0,0.9939552,0.0060447995
1,0.0070295394,0.9929704
1,0.008534834,0.99146515
1,0.008709169,0.9912908
0,0.99737024,0.0026297574
1,0.004498777,0.9955012
1,0.0037819957,0.996218
1,0.007012363,0.9929877
1,0.046297062,0.9537029
0,0.13560902,0.864391
0,0.9981342,0.001865855
1,0.005188145,0.9948119
0,0.9981614,0.0018385916
1,0.0075205974,0.99247944
2,0.94258356,0.057416484
1,0.011906503,0.98809344
1,0.87026846,0.12973152
0,0.8967397,0.10326033
1,0.08919347,0.9108065
0,0.99630296,0.003696999
0,0.99744165,0.002558302
2,0.85056317,0.14943679
1,0.008157534,0.9918425
0,0.99703586,0.0029641702
0,0.9972813,0.0027186624
1,0.008425661,0.99157435
1,0.0057664765,0.99423355
0,0.9977349,0.0022650354
0,0.99876,0.001240064
1,0.9799313,0.0200687
0,0.99824667,0.0017533195
1,0.0065019988,0.99349797
1,0.007993676,0.99200636
0,0.9975625,0.002437441
1,0.012922121,0.98707783
1,0.03229715,0.96770287
2,0.014537287,0.98546267
1,0.92679757,0.07320238
1,0.0060670464,0.9939329
0,0.1368012,0.86319876
1,0.008819091,0.9911809
0,0.99848264,0.0015173337
0,0.99671435,0.0032856835
1,0.0040517547,0.99594826
1,0.006560938,0.993439
0,0.99798155,0.002018369
1,0.07528578,0.9247142
1,0.9954085,0.0045915116
2,0.014546048,0.98545396
0,0.99472934,0.005270683
1,0.005907125,0.9940929
0,0.08833639,0.9116636
1,0.64399314,0.35600683
1,0.008539436,0.99146056
1,0.005525364,0.9944746
0,0.997726,0.0022739312
2,0.027406609,0.97259337
2,0.009615889,0.9903841
0,0.99474806,0.0052519417
2,0.006451427,0.9935486
2,0.0072574224,0.99274254
1,0.006133536,0.9938665
0,0.99751735,0.0024826166
1,0.042607132,0.9573928
1,0.012889647,0.9871104
0,0.9946525,0.005347459
0,0.9952964,0.004703602
0,0.994181,0.0058189994
1,0.0302346,0.96976537
0,0.017289488,0.98271054
2,0.014858267,0.98514175
1,0.00590848,0.99409145
0,0.998156,0.0018439753
1,0.0044466606,0.9955533
0,0.99666697,0.0033330622
2,0.023728443,0.9762715
0,0.99840325,0.0015967581
1,0.0034837553,0.9965162
2,0.007065505,0.9929345
1,0.01108358,0.9889164
1,0.94303566,0.05696435
1,0.015696635,0.98430336
0,0.9930474,0.00695257
1,0.004952357,0.9950477
1,0.009891688,0.9901084
0,0.021660909,0.9783391
2,0.0045354515,0.9954646
0,0.9980975,0.0019024877
1,0.011081834,0.9889181
1,0.006760623,0.9932394
0,0.017259803,0.98274016
0,0.99748576,0.002514234
2,0.0064823637,0.99351764
0,0.9975598,0.002440195
1,0.0034186826,0.9965814
0,0.9976113,0.0023886883
0,0.9913454,0.008654624
0,0.9986528,0.0013471402
0,0.12512362,0.8748764
1,0.0074996916,0.99250036
0,0.997546,0.002453979
0,0.9891394,0.010860591
0,0.9892588,0.010741211
0,0.9987425,0.0012574969
0,0.9983132,0.0016867868
1,0.0035774999,0.99642247
0,0.9922098,0.007790206
1,0.005745344,0.99425465
1,0.0077824434,0.99221754
0,0.9823324,0.01766764
2,0.04246806,0.9575319
1,0.01894884,0.9810511
0,0.9960295,0.003970548
1,0.006850136,0.99314994
1,0.0064093787,0.9935906
0,0.9984445,0.0015554663
1,0.0057759867,0.994224
0,0.99744487,0.002555116
0,0.99884474,0.0011552597
1,0.00422284,0.99577713
1,0.075776435,0.92422354
0,0.99758506,0.002414934
0,0.9952974,0.0047026263
0,0.0102325175,0.9897675
1,0.014223702,0.98577625
1,0.005487163,0.9945128
1,0.01187386,0.98812616
1,0.054833528,0.9451665
0,0.99852294,0.0014771201
1,0.007874255,0.99212575
0,0.9965385,0.0034614787
0,0.40934017,0.59065986
0,0.99481416,0.005185924
0,0.030657476,0.9693425
1,0.011091643,0.98890835
0,0.99824274,0.0017573109
0,0.018588025,0.981412
0,0.99730337,0.0026966599
1,0.00683432,0.9931657
0,0.98725444,0.012745585
1,0.009062515,0.9909375
0,0.9972703,0.0027297335
0,0.99803394,0.0019660944
1,0.008819939,0.9911801
0,0.998456,0.0015439742
1,0.0051381,0.9948619
2,0.00479676,0.99520326
0,0.99593204,0.0040679853
2,0.02150911,0.9784908
0,0.9978295,0.002170548
0,0.997776,0.0022240165
1,0.009434115,0.99056584
0,0.99305314,0.0069468836
1,0.026325967,0.97367406
2,0.011192666,0.9888073
0,0.9978921,0.0021079378
0,0.9839933,0.016006676
0,0.99586296,0.0041369926
1,0.0062587084,0.9937412
0,0.99694115,0.0030588738
1,0.007102808,0.99289715
0,0.9985689,0.0014310824
0,0.21373226,0.78626776
1,0.92236346,0.077636555
0,0.99391985,0.0060801147
2,0.0062448503,0.9937551
2,0.08894485,0.9110552
1,0.027988615,0.9720114
1,0.012550883,0.98744905
0,0.0414328,0.95856714
2,0.008202544,0.99179745
1,0.9959137,0.0040863366
0,0.9762981,0.023701927
2,0.007922328,0.99207765
0,0.6952231,0.3047769
2,0.9904483,0.009551628
0,0.99860364,0.0013963191
2,0.9580432,0.041956805
0,0.9977894,0.0022105963
1,0.71601117,0.28398886
0,0.0130639905,0.98693603
1,0.022321664,0.9776783
1,0.016338328,0.9836617
1,0.010465717,0.9895343
2,0.039699085,0.9603009
0,0.99346864,0.0065313424
0,0.05879294,0.9412071
0,0.9954868,0.004513176
1,0.01755159,0.9824484
1,0.006192142,0.99380785
1,0.048743166,0.9512568
2,0.016437411,0.98356265
1,0.018157382,0.98184264
1,0.004653038,0.99534696
0,0.9983463,0.0016537053
1,0.026375733,0.9736242
1,0.99009025,0.009909697
1,0.014548788,0.9854512
0,0.029571867,0.97042817
0,0.9967049,0.0032950912
1,0.030683672,0.96931636
0,0.9984079,0.0015921049
0,0.9976642,0.0023358427
0,0.996011,0.0039889463
0,0.99872714,0.001272889
0,0.9655924,0.034407638
1,0.008456584,0.9915434
1,0.07662073,0.9233793
0,0.074253894,0.92574614
1,0.004455248,0.99554473
1,0.01294827,0.9870517
2,0.0046719294,0.99532807
1,0.012012275,0.98798776
2,0.0041451533,0.9958548
0,0.9978162,0.0021837384
0,0.99769753,0.0023024816
1,0.008427847,0.99157214
0,0.9928763,0.0071236803
0,0.9977367,0.002263325
1,0.22419916,0.7758008
1,0.012976853,0.9870231
2,0.00802278,0.9919773
0,0.9974619,0.002538118
1,0.0047792303,0.9952207
2,0.011688734,0.98831123
0,0.99797076,0.0020292376
0,0.2066605,0.79333943
2,0.045413047,0.9545869
0,0.8982079,0.10179204
0,0.99602014,0.0039799027
1,0.0061058705,0.99389416
0,0.99627554,0.0037244996
1,0.0099261785,0.9900738
2,0.0042339433,0.99576604
1,0.009870671,0.9901293
2,0.78543645,0.21456356
0,0.99835473,0.0016452215
0,0.998156,0.0018439974
0,0.99806815,0.001931883
2,0.96694237,0.0330576
1,0.0043997136,0.9956002
1,0.006964231,0.99303573
2,0.0042993017,0.99570066
0,0.9978302,0.0021697723
0,0.9983758,0.0016241852
0,0.98344594,0.016554061
0,0.99828327,0.0017167813
1,0.0053323014,0.99466777
0,0.9980781,0.0019219138
1,0.0056966147,0.99430346
2,0.02143194,0.978568
0,0.044852592,0.95514745
1,0.0054072174,0.9945927
0,0.079746515,0.92025346
0,0.9981415,0.0018585287
1,0.061355725,0.93864435
2,0.005131825,0.99486816
1,0.006885267,0.99311477
0,0.9987074,0.0012926303
0,0.98182607,0.018173954
2,0.010696603,0.98930335
0,0.9982705,0.0017294942
0,0.99668294,0.0033170572
0,0.9904659,0.009534195
1,0.87431806,0.12568194
0,0.9816698,0.018330213
1,0.97562385,0.024376132
1,0.032787565,0.9672124
1,0.020167554,0.9798324
0,0.8476484,0.15235163
0,0.69439346,0.30560654
0,0.99768627,0.0023137499
1,0.07761889,0.9223811
1,0.00643326,0.9935667
1,0.0045295437,0.9954705
0,0.9983418,0.0016582413
1,0.009970313,0.99002975
2,0.0056104697,0.9943895
1,0.013730647,0.9862693
0,0.9958264,0.0041735643
0,0.009881927,0.9901181
2,0.010468952,0.98953104
0,0.9863468,0.013653187
1,0.0076751956,0.9923248
0,0.99756324,0.0024367163
1,0.01267894,0.98732114
0,0.99846554,0.0015344577
1,0.005163222,0.9948368
1,0.048132773,0.9518672
0,0.9921864,0.0078136055
0,0.9981906,0.0018094238
0,0.9985703,0.0014295983
1,0.00897964,0.9910204
1,0.007167164,0.9928328
0,0.9971077,0.0028922723
1,0.004316973,0.9956831
0,0.09619899,0.90380096
0,0.989599,0.010401064
1,0.006751535,0.99324846
2,0.007639209,0.9923608
1,0.008630475,0.99136955
0,0.997928,0.002072
0,0.9987206,0.0012794178
1,0.03535667,0.96464336
1,0.057089925,0.9429101
0,0.9967548,0.0032451584
0,0.9971053,0.002894746
1,0.1831598,0.81684023
0,0.062435545,0.9375645
0,0.9954014,0.004598571
1,0.011274373,0.9887256
0,0.97386235,0.026137674
0,0.99086326,0.009136661
2,0.005500385,0.99449956
1,0.0046455907,0.9953544
2,0.998422,0.0015779308
0,0.9914043,0.008595712
1,0.26636228,0.7336377
1,0.955958,0.04404204
1,0.0051290505,0.994871
0,0.99722654,0.0027734598
0,0.9975617,0.0024382875
1,0.024756124,0.97524387
0,0.99835086,0.001649136
2,0.007589302,0.99241066
0,0.99381715,0.0061828056
1,0.0074079675,0.9925921
1,0.006114853,0.9938851
0,0.99743456,0.0025655045
0,0.109415255,0.8905847
1,0.005389874,0.9946101
2,0.99432445,0.0056755478
1,0.052815314,0.94718474
1,0.009075234,0.9909247
1,0.2851779,0.7148222
2,0.055437885,0.94456214
0,0.9973646,0.002635464
0,0.9985775,0.0014224653
2,0.014878264,0.9851217
1,0.015350561,0.9846495
0,0.9986563,0.0013436734
0,0.9979559,0.002044019
0,0.98539925,0.014600817
0,0.99752945,0.0024705683
0,0.98734516,0.012654781
2,0.0072532296,0.9927468
0,0.022168709,0.97783124
0,0.9981704,0.0018296187
0,0.99354196,0.0064580757
1,0.0118419165,0.98815805
0,0.9986772,0.0013228059
0,0.9887794,0.011220517
0,0.9986418,0.0013582297
0,0.9971558,0.002844228
1,0.014956954,0.98504305
0,0.9966168,0.0033832605
0,0.9976642,0.0023357915
1,0.0126472,0.98735285
2,0.43844038,0.5615596
1,0.03230661,0.9676934
2,0.936383,0.06361697
1,0.007761506,0.99223846
0,0.9980661,0.0019339169
1,0.005758319,0.9942417
1,0.00344295,0.9965571
0,0.9951066,0.0048934636
2,0.004753237,0.9952468
1,0.006195931,0.9938041
1,0.0053970874,0.99460286
2,0.012404622,0.9875953
0,0.9980586,0.0019414123
1,0.049030196,0.95096976
2,0.9968483,0.003151709
1,0.012958665,0.98704135
0,0.8977895,0.102210574
1,0.008198419,0.99180156
0,0.99753237,0.0024675885
1,0.0044926484,0.99550736
0,0.23068061,0.7693194
0,0.9979887,0.0020112924
2,0.20174153,0.7982585
0,0.99803096,0.0019690006
0,0.9923145,0.0076855277
0,0.9984876,0.0015124106
1,0.009854174,0.99014586
1,0.01496386,0.98503613
0,0.9981932,0.0018068488
2,0.0075417254,0.9924583
1,0.012312895,0.98768705
0,0.99863976,0.0013602192
1,0.006414863,0.99358517
0,0.99552923,0.004470752
1,0.0071147624,0.9928852
0,0.98309004,0.016909966
2,0.98859733,0.011402731
0,0.9987035,0.0012965607
1,0.009937736,0.99006224
1,0.012043392,0.9879566
1,0.00558137,0.9944186
0,0.9984131,0.00158695
0,0.99855715,0.0014428247
1,0.051872402,0.94812757
0,0.9981353,0.0018646226
0,0.80162346,0.19837649
0,0.99591464,0.0040854053
2,0.87425673,0.12574328
0,0.9933651,0.006634855
0,0.9160005,0.08399947
1,0.8499016,0.15009838
2,0.053461183,0.94653875
2,0.9963827,0.0036172918
0,0.9973851,0.0026149289
0,0.99697447,0.003025494
2,0.0075750113,0.99242496
0,0.99078184,0.009218128
0,0.9986345,0.0013654616
1,0.013886509,0.9861135
0,0.997221,0.002779035
1,0.013348792,0.9866512
2,0.9980038,0.0019962736
1,0.0038983026,0.99610174
2,0.984959,0.015040969
1,0.0038677924,0.99613225
1,0.0056868447,0.9943131
1,0.45525002,0.54475
1,0.98609805,0.0139019275
0,0.9963019,0.003698083
0,0.9887088,0.011291193
0,0.08184639,0.91815364
0,0.99665534,0.0033445975
1,0.003657055,0.99634296
0,0.998156,0.0018439252
0,0.9961922,0.0038077321
0,0.99819773,0.0018022637
1,0.0063232235,0.9936767
0,0.99811625,0.0018837615
0,0.9810524,0.01894758
2,0.995385,0.004615032
0,0.9956831,0.004316887
0,0.07017734,0.9298227
0,0.9849893,0.015010686
0,0.99701214,0.0029878204
0,0.99790716,0.0020928571
1,0.009507481,0.9904925
0,0.99843115,0.001568888
0,0.9961153,0.0038846575
0,0.99797004,0.00202993
2,0.24607234,0.7539277
1,0.010696675,0.98930335
1,0.02412659,0.9758734
2,0.00901319,0.99098676
0,0.99835336,0.0016466334
0,0.9983353,0.0016647824
2,0.026564019,0.973436
0,0.9983876,0.001612401
2,0.0050035617,0.9949964
1,0.99651235,0.0034876775
0,0.9979341,0.0020658937
0,0.99824786,0.0017521925
0,0.9980282,0.0019717952
1,0.013161276,0.98683876
2,0.09394608,0.90605396
1,0.007259509,0.9927406
0,0.5953244,0.40467563
1,0.008647104,0.99135286
1,0.005305399,0.99469465
0,0.21182342,0.78817654
1,0.009724274,0.99027574
0,0.9888509,0.011149064
1,0.046691384,0.95330864
1,0.010198691,0.98980135
1,0.071730144,0.9282699
1,0.016202288,0.9837977
2,0.017119111,0.98288083
0,0.9889737,0.011026393
0,0.99843556,0.0015644798
0,0.99850816,0.0014918654
1,0.0062022116,0.9937977
0,0.9981749,0.0018251201
1,0.013725631,0.9862744
0,0.99851876,0.0014811892
0,0.99787986,0.002120201
1,0.0093108965,0.99068904
0,0.99784756,0.0021524727
0,0.99827516,0.0017248672
0,0.9959817,0.0040182527
0,0.9986859,0.0013140548
0,0.96442544,0.03557456
2,0.006521971,0.99347806
0,0.9983633,0.0016367292
0,0.9969029,0.0030971267
0,0.9985876,0.0014124163
1,0.007560417,0.9924395
2,0.021292806,0.9787072
0,0.9972549,0.0027450912
1,0.015470249,0.98452973
0,0.99835324,0.0016467653
2,0.99762386,0.00237618
0,0.9975464,0.0024535612
1,0.0064566247,0.9935434
0,0.9969934,0.003006569
0,0.998585,0.0014150093
2,0.4674493,0.5325507
0,0.99425644,0.005743596
0,0.99748945,0.002510604
0,0.95428264,0.045717426
0,0.98953795,0.010462048
1,0.9912726,0.008727314
1,0.014233602,0.9857664
0,0.9792612,0.020738853
1,0.006142524,0.99385744
0,0.25458962,0.7454103
1,0.029882975,0.97011703
0,0.9982572,0.0017428278
0,0.15258922,0.84741074
0,0.9981824,0.001817592
0,0.9987239,0.001276023
1,0.007721722,0.9922782
0,0.9982761,0.0017238714
1,0.01011231,0.98988765
2,0.0062578637,0.99374217
1,0.00398486,0.99601513
0,0.99860483,0.0013951454
2,0.0062552043,0.9937448
1,0.007866987,0.9921331
1,0.010829088,0.98917097
0,0.9865138,0.013486148
0,0.99331397,0.0066860323
1,0.02267504,0.97732496
1,0.005850055,0.9941499
2,0.1601261,0.83987397
1,0.0056790845,0.99432087
1,0.008615205,0.99138474
1,0.94151485,0.058485214
1,0.0068940236,0.99310595
0,0.995231,0.004769024
1,0.47504023,0.5249598
1,0.0060748407,0.99392515
1,0.0879303,0.91206974
0,0.9974437,0.0025563098
2,0.004010267,0.99598974
1,0.0088794585,0.9911205
0,0.02142741,0.9785726
2,0.00594556,0.9940545
0,0.42525306,0.5747469
2,0.008306433,0.99169356
0,0.9976025,0.0023975521
0,0.9971469,0.0028531298
0,0.9977088,0.002291148
1,0.00414277,0.9958572
0,0.99794143,0.0020586008
0,0.9949635,0.00503651
0,0.05316278,0.9468372
0,0.94808376,0.051916283
0,0.9960672,0.0039328192
0,0.997795,0.002205065
0,0.9976458,0.0023542047
1,0.010260633,0.98973936
1,0.0062309396,0.993769
1,0.006001194,0.99399877
0,0.9979394,0.0020605489
2,0.041394617,0.95860535
0,0.9907748,0.009225186
0,0.30641332,0.6935867
0,0.02935076,0.97064924
0,0.23604727,0.76395273
2,0.008364649,0.9916353
0,0.99871826,0.0012818115
1,0.0069738566,0.99302614
0,0.99174434,0.008255716
0,0.9985373,0.0014626669
2,0.99852496,0.0014751119
2,0.0046814363,0.9953186
0,0.9961052,0.0038948597
2,0.99624264,0.0037573157
0,0.059082117,0.94091785
0,0.9891242,0.010875749
0,0.9986015,0.001398495
2,0.020216757,0.97978324
2,0.007935456,0.99206454
2,0.03179282,0.9682072
2,0.008735144,0.9912649
0,0.5463997,0.4536003
1,0.0059956647,0.9940043
1,0.040223848,0.95977616
1,0.01856554,0.98143446
0,0.8892492,0.11075083
0,0.9983083,0.0016917082
1,0.9627686,0.037231337
0,0.02055347,0.97944653
0,0.9987219,0.0012781243
1,0.011017337,0.9889826
0,0.12024606,0.87975395
2,0.009698734,0.99030125
1,0.004612172,0.99538785
1,0.0053067757,0.9946932
1,0.005171063,0.9948289
1,0.12319994,0.8768
1,0.005776384,0.99422365
2,0.0039012288,0.99609876
1,0.1576161,0.8423839
0,0.9986363,0.0013636753
0,0.98948157,0.010518431
0,0.99756455,0.0024354453
1,0.0101572815,0.9898427
2,0.004457262,0.9955427
0,0.9720905,0.027909517
1,0.033310283,0.96668977
0,0.9985655,0.0014345702
1,0.005869972,0.99413
0,0.224038,0.775962
0,0.03471348,0.9652865
0,0.9972277,0.0027722917
1,0.0072202366,0.9927798
2,0.016178569,0.9838215
2,0.01912297,0.9808771
0,0.9893863,0.010613614
0,0.99756926,0.0024307384
