labels,Not,Exp,Imp
0,0.98951006,0.003730867,0.0067590782
1,0.02685725,0.89024955,0.08289313
0,0.20870776,0.5837633,0.20752896
1,0.030583587,0.83149236,0.13792406
0,0.99133027,0.0033260675,0.00534363
1,0.016217753,0.87501466,0.108767614
1,0.012731959,0.90757483,0.07969323
0,0.98468727,0.006169786,0.009142887
0,0.11440307,0.66060364,0.22499324
0,0.1182031,0.74085146,0.14094543
2,0.9564886,0.018025087,0.025486315
1,0.014134434,0.859592,0.12627354
1,0.049328245,0.8392802,0.11139156
1,0.024145152,0.7928973,0.18295759
1,0.018473806,0.8090984,0.17242779
1,0.024291454,0.8440427,0.13166584
1,0.031733707,0.75473416,0.21353212
1,0.04737692,0.77043873,0.18218438
0,0.98934525,0.0041769478,0.0064778016
1,0.03769718,0.8289494,0.13335347
0,0.46290776,0.3245113,0.21258093
1,0.019108042,0.8629409,0.11795103
2,0.061248016,0.796663,0.14208905
1,0.032183047,0.8480164,0.1198005
0,0.037680607,0.8429454,0.11937404
1,0.042377297,0.78979063,0.16783208
0,0.9877699,0.0049024783,0.007327668
0,0.9908494,0.0035707215,0.00557992
0,0.97972256,0.008695403,0.01158203
0,0.9138862,0.040520247,0.045593645
1,0.030339355,0.8462964,0.12336418
0,0.30374038,0.48004398,0.21621566
2,0.8328079,0.08976203,0.077430144
0,0.98773474,0.004389251,0.007876012
1,0.030320812,0.86512583,0.10455333
1,0.019940322,0.8745011,0.10555855
1,0.013012895,0.866292,0.12069512
1,0.013924524,0.91083646,0.075239025
2,0.035716247,0.7789771,0.1853067
0,0.43238488,0.39537936,0.17223574
0,0.98795867,0.004976194,0.0070651313
1,0.023096172,0.7921749,0.184729
1,0.02270685,0.8492236,0.12806956
1,0.28669545,0.54839647,0.1649081
0,0.96617717,0.016438251,0.017384656
1,0.059038345,0.7754485,0.16551317
1,0.027617645,0.8240523,0.14833008
1,0.01967846,0.83626914,0.14405239
0,0.6218514,0.21058278,0.1675658
1,0.017055703,0.86540216,0.11754215
0,0.14493854,0.6501806,0.20488086
0,0.9902955,0.003789034,0.005915507
0,0.9887389,0.0043173325,0.006943761
0,0.5730984,0.23078616,0.19611539
1,0.044162452,0.83104277,0.124794796
1,0.025666924,0.8127386,0.16159452
0,0.9892322,0.00395584,0.0068120253
0,0.9883426,0.00490935,0.006748149
1,0.059251375,0.73811984,0.20262873
0,0.98919326,0.0041585644,0.006648112
0,0.023277344,0.8248658,0.1518569
0,0.91263545,0.04909041,0.03827416
0,0.41212523,0.39293653,0.1949382
1,0.075121954,0.70889974,0.2159783
2,0.06255326,0.68238795,0.2550588
1,0.021815466,0.8698638,0.10832078
2,0.015472742,0.85754526,0.12698199
0,0.97142226,0.009971521,0.018606203
0,0.9869975,0.0050379606,0.007964597
1,0.02700224,0.81024146,0.16275632
1,0.2340475,0.5531407,0.21281181
1,0.026605198,0.85847527,0.11491954
0,0.98988336,0.004082517,0.006034139
0,0.64386815,0.22496587,0.13116595
0,0.93193316,0.03622608,0.031840764
0,0.977835,0.0097059505,0.012459003
1,0.01656348,0.86690265,0.11653381
1,0.0365712,0.76883894,0.19458984
1,0.025161011,0.8746454,0.1001936
0,0.9820856,0.00782355,0.010090871
1,0.014093224,0.89190495,0.09400177
1,0.012896606,0.8416263,0.14547709
1,0.025342612,0.8931683,0.08148904
1,0.06332594,0.71207356,0.2246005
0,0.043697804,0.70859665,0.24770553
